programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,709492,D,Bestått,2011,v
BIT,711357,E,Bestått,2010,v
BIT,711357,F,Ikke bestått,2012,v
BIT,712742,B,Bestått,2010,v
BIT,712746,E,Bestått,2010,v
BIT,712746,,Ikke møtt,2017,v
BIT,712788,C,Bestått,2010,v
BIT,712808,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,712808,F,Ikke bestått,2010,s
BIT,712808,D,Bestått,2012,v
BIT,713257,F,Ikke bestått,2010,v
BIT,713257,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,713257,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,713257,,Trekk under eksamen (Avbrutt eksamen),2013,s
BIT,713257,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,713257,,Ikke møtt,2014,s
BIT,713261,C,Bestått,2010,v
BIT,713261,C,Bestått,2011,v
BIT,713262,B,Bestått,2010,v
BIT,713263,B,Bestått,2010,v
BIT,713263,B,Bestått,2012,v
BIT,713264,,Manglende øvinger,2010,v
BIT,713264,B,Bestått,2011,v
BIT,713265,,Manglende øvinger,2010,v
BIT,713268,F,Ikke bestått,2010,v
BIT,713268,D,Bestått,2011,v
BIT,713275,F,Ikke bestått,2010,v
BIT,713275,E,Bestått,2012,v
BIT,713397,D,Bestått,2011,v
BIT,713397,B,Bestått,2013,v
BIT,713504,E,Bestått,2015,v
BIT,713504,E,Bestått,2017,v
BIT,713679,C,Bestått,2010,v
BIT,713679,B,Bestått,2013,v
BIT,713680,D,Bestått,2010,v
BIT,713683,C,Bestått,2010,v
BIT,713683,B,Bestått,2011,v
BIT,713684,D,Bestått,2010,v
BIT,713684,C,Bestått,2011,v
BIT,713685,B,Bestått,2010,v
BIT,713687,D,Bestått,2010,v
BIT,713687,C,Bestått,2013,v
BIT,713688,C,Bestått,2010,v
BIT,713689,F,Ikke bestått,2010,v
BIT,713689,F,Ikke bestått,2012,v
BIT,713689,F,Ikke bestått,2012,s
BIT,713689,C,Bestått,2013,v
BIT,713690,B,Bestått,2010,v
BIT,713690,C,Bestått,2011,v
BIT,713692,E,Bestått,2010,v
BIT,713692,D,Bestått,2013,v
BIT,713693,,Manglende øvinger,2010,v
BIT,713694,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,713695,F,Ikke bestått,2010,v
BIT,713695,F,Ikke bestått,2012,v
BIT,713695,E,Bestått,2012,s
BIT,713696,D,Bestått,2010,v
BIT,713697,E,Bestått,2010,v
BIT,713697,C,Bestått,2013,v
BIT,713698,,Ikke møtt,2010,v
BIT,713698,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,713698,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,713698,D,Bestått,2012,s
BIT,713698,,Ikke møtt,2015,v
BIT,713700,A,Bestått,2010,v
BIT,713702,C,Bestått,2010,v
BIT,713703,D,Bestått,2010,v
BIT,713704,E,Bestått,2010,v
BIT,713704,E,Bestått,2011,v
BIT,713705,C,Bestått,2010,v
BIT,713708,B,Bestått,2010,v
BIT,713709,B,Bestått,2010,v
BIT,713710,,Manglende øvinger,2013,v
BIT,713713,,Manglende øvinger,2010,v
BIT,713713,E,Bestått,2012,v
BIT,713714,F,Ikke bestått,2010,v
BIT,713715,E,Bestått,2010,v
BIT,713715,D,Bestått,2012,v
BIT,713716,D,Bestått,2010,v
BIT,713716,B,Bestått,2011,v
BIT,713717,,Ikke møtt,2010,v
